,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1484,1722,105096.0,82243.0,80753.0,79029.0
1485,1858,188200.0,176000.0,160800.0,157800.0
1486,454,204800.0,187600.0,189400.0,182700.0
1487,967,69200.0,69500.0,71700.0,69900.0
1488,1564,93800.0,94600.0,103800.0,98200.0
1489,646,128700.0,128900.0,129400.0,121500.0
1490,719,69600.0,68000.0,70000.0,70800.0
1491,517,97200.0,96200.0,91100.0,90900.0
1492,1953,277700.0,273700.0,261800.0,259800.0
1493,255,132500.0,130500.0,126100.0,128500.0
1494,472,128300.0,128900.0,130400.0,125400.0
1495,250,162900.0,169400.0,168000.0,172200.0
1496,389,159900.0,143400.0,138000.0,128600.0
1497,1784,115400.0,114900.0,113600.0,113400.0
1498,1844,142300.0,143300.0,148800.0,147000.0
1499,475,74000.0,72900.0,69700.0,69500.0
1500,395,105400.0,104900.0,106600.0,106100.0
1501,3037,72981.0,73691.0,69581.0,75064.0
1502,1330,74500.0,72400.0,76800.0,74900.0
1503,2422,178500.0,178500.0,177800.0,178100.0
1504,2892,111800.0,104200.0,112900.0,104900.0
1505,935,113600.0,114300.0,123200.0,118800.0
1506,1756,244500.0,229400.0,224400.0,219400.0
1507,668,104037.0,138800.0,90000.0,104900.0
1508,1945,74900.0,69600.0,62800.0,58900.0
1509,1011,97700.0,88900.0,90000.0,89000.0
1510,869,105700.0,105500.0,100100.0,98500.0
1511,1657,174100.0,168400.0,178000.0,169500.0
1512,42,221900.0,202000.0,216200.0,193000.0
1513,120,269400.0,276300.0,318900.0,295400.0
1514,70,200300.0,192100.0,176300.0,169900.0
1515,263,111400.0,111300.0,108900.0,102200.0
1516,124,121900.0,121500.0,119400.0,117700.0
1517,2111,74900.0,74500.0,72400.0,73500.0
1518,1473,96800.0,89900.0,101300.0,99800.0
1519,1519,137200.0,133500.0,142400.0,132300.0
1520,747,108700.0,105900.0,103900.0,104400.0
1521,1426,92800.0,83300.0,74700.0,78600.0
1522,1852,180400.0,161800.0,167400.0,156500.0
1523,1633,108200.0,108300.0,108100.0,107300.0
1524,373,336300.0,327300.0,294200.0,292900.0
1525,749,101200.0,99600.0,108600.0,112900.0
1526,1432,112000.0,110700.0,111200.0,111900.0
1527,1500,130800.0,133800.0,143500.0,140600.0
1528,2540,200900.0,200900.0,200700.0,200800.0
1529,610,300500.0,289400.0,297100.0,276700.0
1530,7,428200.0,406700.0,444400.0,415200.0
1531,1916,157400.0,139100.0,135000.0,127500.0
1532,218,182500.0,174900.0,169000.0,164400.0
1533,1961,72200.0,72300.0,84800.0,81400.0
1534,1408,72000.0,76200.0,76800.0,76800.0
1535,92,180000.0,165300.0,177400.0,157500.0
1536,2531,82600.0,83600.0,105200.0,96000.0
1537,1332,136300.0,134000.0,140800.0,135500.0
1538,2047,57800.0,57700.0,55800.0,56800.0
1539,1796,80400.0,78600.0,77200.0,76200.0
1540,1301,115400.0,112100.0,109000.0,111900.0
1541,1302,137000.0,138800.0,139700.0,138600.0
1542,1318,104900.0,99700.0,89600.0,87700.0
1543,1611,166600.0,160900.0,170800.0,164400.0
1544,2709,86600.0,84100.0,84800.0,84800.0
1545,1057,75839.0,77773.0,84302.0,79955.0
1546,2416,64500.0,63500.0,68100.0,64200.0
1547,1464,84400.0,79100.0,77400.0,79600.0
1548,262,168300.0,165700.0,163100.0,160700.0
1549,2282,79493.0,73688.0,77142.0,81031.0
1550,1715,86100.0,87100.0,89300.0,85700.0
1551,501,159500.0,153200.0,163900.0,158200.0
1552,2606,54700.0,53200.0,50400.0,52300.0
1553,2496,71600.0,73000.0,82600.0,85800.0
1554,2510,80900.0,81100.0,98400.0,91500.0
1555,317,82300.0,83600.0,78500.0,80200.0
1556,123,131400.0,127100.0,114100.0,115500.0
1557,204,157800.0,154500.0,145800.0,141000.0
1558,1254,86900.0,80800.0,74700.0,80100.0
1559,101,380600.0,383300.0,374600.0,360000.0
1560,1435,167200.0,148600.0,153800.0,155900.0
1561,1954,98800.0,104000.0,105400.0,106000.0
1562,1738,101100.0,100500.0,98400.0,99700.0
