,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
110,1480,193000,188100,183000,183300,183400,192300,198900,211600,-4900,-5100,300,100,8900,6600,12700,-2.538860104,-2.711323764,0.163934426,0.054555374,4.852780807,3.432137285,6.38511815
111,2189,76800,78100,82300,70400,63800,60400,63600,81000,1300,4200,-11900,-6600,-3400,3200,17400,1.692708333,5.377720871,-14.45929526,-9.375,-5.329153605,5.298013245,27.35849057
112,1214,119300,119200,117500,120400,119200,121900,122200,128900,-100,-1700,2900,-1200,2700,300,6700,-0.083822297,-1.426174497,2.468085106,-0.996677741,2.265100671,0.246103363,5.482815057
113,471,61149,61504,62122,65288,70060,70823,73908,74466,355,618,3166,4772,763,3085,558,0.58054915,1.004812695,5.096423167,7.30915329,1.089066514,4.355929571,0.754992694
114,645,127000,126100,124600,133500,131300,134500,136300,140400,-900,-1500,8900,-2200,3200,1800,4100,-0.708661417,-1.189532117,7.142857143,-1.647940075,2.437166794,1.338289963,3.008070433
115,2136,123400,121000,119600,124500,133700,142100,153600,166900,-2400,-1400,4900,9200,8400,11500,13300,-1.944894652,-1.157024793,4.096989967,7.389558233,6.282722513,8.092892329,8.658854167
116,722,168100,162000,158200,163000,160000,161000,157800,160400,-6100,-3800,4800,-3000,1000,-3200,2600,-3.628792385,-2.345679012,3.034134008,-1.840490798,0.625,-1.98757764,1.64765526
117,191,125300,121000,119300,123800,133000,137300,144700,157600,-4300,-1700,4500,9200,4300,7400,12900,-3.431763767,-1.404958678,3.772003353,7.431340872,3.233082707,5.389657684,8.914996545
118,1778,125500,124500,125300,125300,126000,129600,133000,135400,-1000,800,0,700,3600,3400,2400,-0.796812749,0.642570281,0,0.558659218,2.857142857,2.62345679,1.804511278
119,2381,68000,64800,60700,60600,58000,60100,61100,67000,-3200,-4100,-100,-2600,2100,1000,5900,-4.705882353,-6.327160494,-0.164744646,-4.290429043,3.620689655,1.663893511,9.656301146
120,1628,138200,137400,131600,135500,139100,146100,152000,165500,-800,-5800,3900,3600,7000,5900,13500,-0.578871201,-4.22125182,2.963525836,2.656826568,5.032350827,4.038329911,8.881578947
121,2683,75800,72300,72300,72300,72300,72900,72300,76300,-3500,0,0,0,600,-600,4000,-4.617414248,0,0,0,0.829875519,-0.823045267,5.532503458
