,County,Value_measure_1,Value_measure_2,Difference
627,134,128100.0,120900.0,-7200.0
628,1186,178500.0,209200.0,30700.0
629,2265,70300.0,55900.0,-14400.0
630,2259,78217.0,77716.0,-501.0
631,1957,211600.0,209200.0,-2400.0
632,1834,113300.0,104400.0,-8900.0
633,2320,166700.0,174600.0,7900.0
634,874,127900.0,134000.0,6100.0
635,1782,94200.0,83200.0,-11000.0
636,1535,120700.0,112900.0,-7800.0
637,2696,51400.0,53800.0,2400.0
638,469,187400.0,189400.0,2000.0
639,369,137300.0,139200.0,1900.0
640,524,134000.0,132800.0,-1200.0
641,579,80500.0,84300.0,3800.0
642,24,128300.0,135000.0,6700.0
643,279,166100.0,146500.0,-19600.0
644,1604,98200.0,104100.0,5900.0
645,1962,109700.0,128500.0,18800.0
646,549,170200.0,157500.0,-12700.0
647,611,175000.0,189200.0,14200.0
648,441,128200.0,168600.0,40400.0
649,186,268300.0,272500.0,4200.0
650,439,206400.0,223000.0,16600.0
651,860,279200.0,310800.0,31600.0
652,1867,86000.0,98400.0,12400.0
653,1947,145400.0,159800.0,14400.0
654,1612,173500.0,196600.0,23100.0
655,34,174200.0,193400.0,19200.0
656,2667,62300.0,73200.0,10900.0
657,1168,187700.0,192500.0,4800.0
658,1643,65110.0,58974.0,-6136.0
659,1993,88200.0,82300.0,-5900.0
660,552,100600.0,99900.0,-700.0
661,663,110000.0,112700.0,2700.0
662,1554,87800.0,75100.0,-12700.0
663,888,84400.0,88900.0,4500.0
664,2082,84400.0,112000.0,27600.0
665,1382,260200.0,269100.0,8900.0
666,788,82900.0,86000.0,3100.0
667,1222,146800.0,163700.0,16900.0
668,548,351300.0,313900.0,-37400.0
669,526,81700.0,90700.0,9000.0
670,387,132000.0,125800.0,-6200.0
671,1904,101300.0,97400.0,-3900.0
672,791,169000.0,155600.0,-13400.0
673,818,49600.0,48900.0,-700.0
674,203,109100.0,108600.0,-500.0
675,1679,131500.0,126600.0,-4900.0
676,394,189200.0,191000.0,1800.0
677,1908,171500.0,169200.0,-2300.0
678,1198,70500.0,75500.0,5000.0
679,529,95300.0,101800.0,6500.0
680,826,76325.0,72579.0,-3746.0
681,2061,133200.0,126200.0,-7000.0
682,528,200000.0,179700.0,-20300.0
683,1687,69400.0,87000.0,17600.0
684,1531,69100.0,66700.0,-2400.0
685,565,165100.0,162000.0,-3100.0
686,2087,106700.0,93300.0,-13400.0
687,1734,80500.0,85600.0,5100.0
688,1899,96133.0,94667.0,-1466.0
689,1803,204000.0,232300.0,28300.0
690,1751,164800.0,154200.0,-10600.0
691,1133,230900.0,247800.0,16900.0
692,2318,88100.0,72600.0,-15500.0
693,1790,74000.0,74900.0,900.0
694,814,151600.0,164200.0,12600.0
695,156,206600.0,180800.0,-25800.0
